name,followers,likes,comments,growth_rate,engagement_rate,account_age_days,anomaly_score,anomaly_percentile,transfer_fraud_probability_UNVALIDATED,vetting_action,signals_disagree_flag
influencer_56,4156299,27550,2178,25.53,0.66,359,38.1,95.87,43.3,MANUAL REVIEW - Top 5% anomaly,
influencer_57,2558489,113611,4943,4.42,4.44,679,3.3,4.8500000000000005,0.6,APPROVE - Not a statistical outlier,
influencer_58,1774415,29117,1921,3.99,1.64,1494,3.8,7.33,0.1,APPROVE - Not a statistical outlier,
influencer_59,2306413,72116,3839,0.97,3.13,420,5.1,13.919999999999998,0.2,APPROVE - Not a statistical outlier,
influencer_60,3911197,87455,2573,0.84,2.24,1549,7.4,29.270000000000003,0.2,APPROVE - Not a statistical outlier,
influencer_61,272836,12937,600,4.92,4.74,410,9.0,39.94,0.1,APPROVE - Not a statistical outlier,
influencer_62,3585702,82835,6460,3.09,2.31,771,4.1,8.7,0.4,APPROVE - Not a statistical outlier,
influencer_63,2096505,366973,25306,11.59,17.5,2040,35.5,94.06,29.7,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_64,2300435,125583,3715,0.97,5.46,849,9.9,45.440000000000005,0.6,APPROVE - Not a statistical outlier,
influencer_65,197769,3920,129,1.61,1.98,702,10.9,50.92,0.0,APPROVE - Not a statistical outlier,
influencer_66,2659505,108221,7711,2.73,4.07,2590,3.4,5.24,0.6,APPROVE - Not a statistical outlier,
influencer_67,1272741,18309,1557,4.39,1.44,1801,7.4,29.270000000000003,1.0,APPROVE - Not a statistical outlier,
influencer_68,3770315,318795,15288,12.76,8.46,1241,23.4,83.19,7.0,APPROVE - Not a statistical outlier,
influencer_69,1047797,47848,3235,-0.49,4.57,959,7.5,29.880000000000003,0.6,APPROVE - Not a statistical outlier,
influencer_70,3048262,465083,15650,21.08,15.26,1569,28.2,88.6,22.0,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_71,1585398,65373,2935,0.47,4.12,942,6.2,20.919999999999998,0.8,APPROVE - Not a statistical outlier,
influencer_72,2586031,62393,1349,2.46,2.41,673,8.2,34.74,0.0,APPROVE - Not a statistical outlier,
influencer_73,565685,16349,1331,3.2,2.89,456,6.5,22.900000000000002,0.2,APPROVE - Not a statistical outlier,
influencer_74,2880190,174291,9077,16.83,6.05,531,20.2,78.42,8.0,APPROVE - Not a statistical outlier,
influencer_75,1312736,60321,5144,3.11,4.6,759,5.0,13.41,2.2,APPROVE - Not a statistical outlier,
influencer_76,1008293,35486,2720,1.06,3.52,1313,4.1,8.7,1.9,APPROVE - Not a statistical outlier,
influencer_77,4775183,216976,18724,2.81,4.54,2148,13.5,62.239999999999995,0.9,APPROVE - Not a statistical outlier,
influencer_78,3367612,75593,3239,2.8,2.24,2555,5.3,15.27,0.0,APPROVE - Not a statistical outlier,
influencer_79,24247,635,22,0.67,2.62,486,15.3,67.67,0.0,APPROVE - Not a statistical outlier,
influencer_80,2705238,72258,7063,2.81,2.67,2266,6.7,24.240000000000002,1.6,APPROVE - Not a statistical outlier,
influencer_81,2631708,222270,17200,35.94,8.45,320,29.8,90.16,43.2,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_82,3495679,94566,8201,1.02,2.71,949,5.1,13.919999999999998,0.6,APPROVE - Not a statistical outlier,
influencer_83,1768640,88724,1867,0.74,5.02,2369,13.1,60.69,0.0,APPROVE - Not a statistical outlier,
influencer_84,2614740,143457,6937,1.07,5.49,1999,7.9,32.82,0.2,APPROVE - Not a statistical outlier,
influencer_85,1286160,46187,3668,3.72,3.59,785,3.1,4.06,0.9,APPROVE - Not a statistical outlier,
influencer_86,1426472,46752,1226,0.47,3.28,1688,7.8,32.06,0.0,APPROVE - Not a statistical outlier,
influencer_87,49984,576,37,3.09,1.15,1864,15.2,67.4,0.3,APPROVE - Not a statistical outlier,
influencer_88,2401070,129562,7038,4.4,5.4,1336,3.3,4.8500000000000005,0.6,APPROVE - Not a statistical outlier,
influencer_89,3266879,166036,3554,32.39,5.08,1597,19.0,76.35,12.7,APPROVE - Not a statistical outlier,
influencer_90,1505384,86164,3349,-0.82,5.72,1899,10.3,47.46,0.6,APPROVE - Not a statistical outlier,
influencer_91,2231919,76913,3290,-0.85,3.45,406,7.0,26.58,0.2,APPROVE - Not a statistical outlier,
influencer_92,1753126,47503,1375,-0.16,2.71,1209,8.3,35.29,0.0,APPROVE - Not a statistical outlier,
influencer_93,4331634,243485,17171,-0.34,5.62,537,23.7,83.63000000000001,1.2,APPROVE - Not a statistical outlier,
influencer_94,1738095,19500,768,3.49,1.12,1466,6.9,25.8,0.0,APPROVE - Not a statistical outlier,
influencer_95,2112138,82523,3483,0.77,3.91,2605,6.1,20.380000000000003,0.2,APPROVE - Not a statistical outlier,
influencer_96,4781450,179049,16447,2.92,3.74,588,15.3,67.67,1.0,APPROVE - Not a statistical outlier,
influencer_97,2110818,44255,2538,-0.75,2.1,2337,4.3,9.62,0.2,APPROVE - Not a statistical outlier,
influencer_98,2232785,70208,3606,0.77,3.14,450,5.1,13.919999999999998,0.2,APPROVE - Not a statistical outlier,
influencer_99,4484302,191090,14887,0.4,4.26,1582,11.6,54.290000000000006,0.6,APPROVE - Not a statistical outlier,
influencer_100,2949089,136709,12682,0.66,4.64,333,16.5,70.91,9.6,APPROVE - Not a statistical outlier,
influencer_101,2726928,27367,602,0.14,1.0,971,15.8,69.04,0.0,APPROVE - Not a statistical outlier,
influencer_102,3854339,219090,12238,2.71,5.68,2619,10.4,48.0,0.6,APPROVE - Not a statistical outlier,
influencer_103,1844400,33616,2314,2.98,1.82,1331,3.1,4.06,0.7,APPROVE - Not a statistical outlier,
influencer_104,1080111,23415,1065,-0.11,2.17,1119,8.2,34.74,0.0,APPROVE - Not a statistical outlier,
influencer_105,997107,87308,7141,13.52,8.76,2185,28.1,88.53,29.3,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_106,3522441,41885,4092,0.5,1.19,2345,11.7,54.76,0.2,APPROVE - Not a statistical outlier,
influencer_107,4546583,73439,7011,0.7,1.62,2299,14.0,63.849999999999994,0.9,APPROVE - Not a statistical outlier,
influencer_108,1871230,110996,4581,3.97,5.93,1857,5.5,16.68,0.6,APPROVE - Not a statistical outlier,
influencer_109,3748389,96561,3679,4.41,2.58,1583,4.8,12.17,0.0,APPROVE - Not a statistical outlier,
influencer_110,4143807,65327,6310,3.95,1.58,722,12.7,58.809999999999995,0.6,APPROVE - Not a statistical outlier,
influencer_111,4684874,71910,4076,-0.11,1.53,284,17.9,74.22,0.2,APPROVE - Not a statistical outlier,
influencer_112,3603279,165653,6073,5.0,4.6,1508,4.5,10.66,0.2,APPROVE - Not a statistical outlier,
influencer_113,2122690,138842,10629,13.07,6.54,2330,24.1,84.19,17.3,APPROVE - Not a statistical outlier,
influencer_114,2992650,289630,12382,34.72,9.68,286,28.4,88.79,27.5,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_115,492234,5436,224,4.73,1.1,2460,13.5,62.239999999999995,0.0,APPROVE - Not a statistical outlier,
influencer_116,1949260,113414,10245,40.36,5.82,471,22.4,81.78999999999999,48.1,APPROVE - Not a statistical outlier,
influencer_117,4334486,515391,17007,26.47,11.89,1911,28.5,88.92,8.0,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_118,1522101,23089,580,4.03,1.52,2676,11.8,55.21,0.0,APPROVE - Not a statistical outlier,
influencer_119,4379368,52739,2190,25.9,1.2,1143,20.9,79.47,26.8,APPROVE - Not a statistical outlier,
influencer_120,4409324,94782,6497,3.11,2.15,2467,7.0,26.58,1.0,APPROVE - Not a statistical outlier,
influencer_121,3137729,66297,1978,44.84,2.11,611,23.3,83.06,38.4,APPROVE - Not a statistical outlier,
influencer_122,898421,142541,8228,25.82,15.87,1765,28.2,88.6,31.7,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_123,123409,7037,493,2.53,5.7,2675,15.6,68.47999999999999,0.3,APPROVE - Not a statistical outlier,
influencer_124,2017716,111574,9807,3.89,5.53,48,25.2,85.68,28.6,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_125,2351770,90167,3461,1.44,3.83,1154,3.3,4.8500000000000005,0.6,APPROVE - Not a statistical outlier,
influencer_126,770598,21361,1823,3.55,2.77,2684,8.4,36.04,0.0,APPROVE - Not a statistical outlier,
influencer_127,3268824,361712,14031,15.93,11.07,1410,20.7,79.17,14.3,APPROVE - Not a statistical outlier,
influencer_128,3332068,99250,7358,38.0,2.98,1595,15.6,68.47999999999999,23.0,APPROVE - Not a statistical outlier,
influencer_129,3257415,151075,8226,3.67,4.64,2110,3.3,4.8500000000000005,0.9,APPROVE - Not a statistical outlier,
influencer_130,875371,28521,832,-0.3,3.26,2023,10.4,48.0,0.0,APPROVE - Not a statistical outlier,
influencer_131,2833868,149731,11550,1.14,5.28,1577,7.1,27.279999999999998,1.6,APPROVE - Not a statistical outlier,
influencer_132,3873998,221611,8292,2.27,5.72,891,9.9,45.440000000000005,0.5,APPROVE - Not a statistical outlier,
influencer_133,974548,26115,891,1.0,2.68,184,11.2,52.04,1.0,APPROVE - Not a statistical outlier,
influencer_134,3345014,127226,6191,0.86,3.8,934,4.9,12.86,0.2,APPROVE - Not a statistical outlier,
influencer_135,1214475,27980,2021,38.56,2.3,1299,13.7,63.0,24.9,APPROVE - Not a statistical outlier,
influencer_136,3471495,69511,2691,0.37,2.0,434,9.7,44.29,0.2,APPROVE - Not a statistical outlier,
influencer_137,2960034,90793,3149,4.09,3.07,873,3.6,6.12,0.3,APPROVE - Not a statistical outlier,
influencer_138,4575293,92924,1932,4.54,2.03,1812,15.1,67.17,0.1,APPROVE - Not a statistical outlier,
influencer_139,44585,2399,138,3.2,5.38,1594,13.3,61.56,0.0,APPROVE - Not a statistical outlier,
influencer_140,3058213,185993,10097,15.36,6.08,1214,15.7,68.76,6.0,APPROVE - Not a statistical outlier,
influencer_141,2540448,334495,12948,23.23,13.17,776,22.9,82.56,27.3,APPROVE - Not a statistical outlier,
influencer_142,110556,4453,108,2.19,4.03,1755,12.5,58.040000000000006,0.0,APPROVE - Not a statistical outlier,
influencer_143,1576557,70303,3820,3.55,4.46,300,4.8,12.17,1.9,APPROVE - Not a statistical outlier,
influencer_144,4028419,117442,9754,1.62,2.92,799,5.3,15.27,0.4,APPROVE - Not a statistical outlier,
influencer_145,4395539,234963,18144,-0.75,5.35,1745,15.5,68.24,5.9,APPROVE - Not a statistical outlier,
influencer_146,2124091,81598,7251,3.09,3.84,1540,3.7,6.710000000000001,0.9,APPROVE - Not a statistical outlier,
influencer_147,2010021,64271,1334,1.66,3.2,201,15.9,69.27,0.2,APPROVE - Not a statistical outlier,
influencer_148,1202482,16067,1563,4.24,1.34,303,13.9,63.580000000000005,2.5,APPROVE - Not a statistical outlier,
influencer_149,543335,18057,854,3.43,3.32,2336,5.9,19.36,0.0,APPROVE - Not a statistical outlier,
influencer_150,3434977,175310,17396,1.16,5.1,1188,17.1,72.35000000000001,20.6,APPROVE - Not a statistical outlier,
influencer_151,4271070,240973,9689,30.07,5.64,1736,16.5,70.91,10.7,APPROVE - Not a statistical outlier,
influencer_152,3561920,183824,10610,1.97,5.16,1801,5.7,18.01,0.2,APPROVE - Not a statistical outlier,
influencer_153,2485413,86245,4166,0.2,3.47,451,9.4,42.6,0.2,APPROVE - Not a statistical outlier,
influencer_154,2908360,46310,2244,1.52,1.59,1474,4.4,10.09,0.2,APPROVE - Not a statistical outlier,
influencer_155,2783592,288975,25251,29.66,10.38,1239,27.1,87.74,34.3,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_156,2236000,56259,4484,-0.97,2.52,2441,6.4,22.189999999999998,0.2,APPROVE - Not a statistical outlier,
influencer_157,4323252,194111,19289,0.48,4.49,2455,21.7,80.78,9.6,APPROVE - Not a statistical outlier,
influencer_158,403690,19987,1380,0.26,4.95,609,15.9,69.27,0.4,APPROVE - Not a statistical outlier,
influencer_159,4694350,116361,6639,-0.97,2.48,920,9.8,44.83,0.2,APPROVE - Not a statistical outlier,
influencer_160,2549421,88675,2412,3.7,3.48,751,5.1,13.919999999999998,0.4,APPROVE - Not a statistical outlier,
influencer_161,4217263,130971,13061,-0.54,3.11,910,13.1,60.69,0.9,APPROVE - Not a statistical outlier,
influencer_162,3807618,116231,7453,1.69,3.05,1151,2.9,3.34,0.2,APPROVE - Not a statistical outlier,
influencer_163,1955109,42166,3206,1.51,2.16,2682,4.4,10.09,0.2,APPROVE - Not a statistical outlier,
influencer_164,4423880,74403,3909,0.09,1.68,2037,12.1,56.44,0.2,APPROVE - Not a statistical outlier,
influencer_165,3113754,61759,3941,4.8,1.98,2099,3.9,7.84,0.0,APPROVE - Not a statistical outlier,
influencer_166,1385250,93525,8922,27.33,6.75,1503,19.8,77.71000000000001,32.0,APPROVE - Not a statistical outlier,
influencer_167,4026717,80157,2670,3.88,1.99,412,12.2,56.76,0.0,APPROVE - Not a statistical outlier,
influencer_168,62087,649,28,1.98,1.05,2211,16.1,69.86,0.0,APPROVE - Not a statistical outlier,
influencer_169,1497176,61927,1991,3.34,4.14,1479,2.8,2.96,0.0,APPROVE - Not a statistical outlier,
influencer_170,1887013,48720,4062,4.82,2.58,2580,5.3,15.27,0.0,APPROVE - Not a statistical outlier,
influencer_171,4635096,271881,6787,1.09,5.87,1620,19.8,77.71000000000001,0.2,APPROVE - Not a statistical outlier,
influencer_172,40353,794,21,2.03,1.97,1816,13.0,60.160000000000004,0.0,APPROVE - Not a statistical outlier,
influencer_173,3361011,91726,4024,2.09,2.73,173,10.7,49.99,0.4,APPROVE - Not a statistical outlier,
influencer_174,4260622,118837,7265,4.95,2.79,1916,5.3,15.27,0.4,APPROVE - Not a statistical outlier,
influencer_175,4960617,51702,2714,0.4,1.04,1732,16.6,71.17,0.2,APPROVE - Not a statistical outlier,
influencer_176,417880,21713,512,3.05,5.2,1465,10.4,48.0,0.0,APPROVE - Not a statistical outlier,
influencer_177,4966050,57604,5564,-0.17,1.16,253,26.2,86.83,0.9,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_178,814168,46414,4466,4.56,5.7,249,19.3,76.89,35.5,APPROVE - Not a statistical outlier,
influencer_179,226281,3619,153,47.9,1.6,208,31.0,91.08000000000001,38.7,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_180,3118697,114693,9005,4.16,3.68,1684,3.6,6.12,0.6,APPROVE - Not a statistical outlier,
influencer_181,3783875,140683,9325,4.37,3.72,462,8.4,36.04,0.6,APPROVE - Not a statistical outlier,
influencer_182,2996765,127928,4988,2.34,4.27,294,8.7,38.05,0.6,APPROVE - Not a statistical outlier,
influencer_183,270536,36142,1480,30.81,13.36,983,25.4,85.85000000000001,36.2,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_184,4373093,479974,28458,25.64,10.98,458,32.4,91.75,39.0,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_185,1562729,19125,1023,1.76,1.22,2493,7.9,32.82,0.0,APPROVE - Not a statistical outlier,
influencer_186,2223809,28247,1223,1.61,1.27,2804,9.1,40.52,0.0,APPROVE - Not a statistical outlier,
influencer_187,682669,109873,9295,15.12,16.09,2274,34.9,93.76,29.7,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_188,3865822,144895,8478,1.3,3.75,1607,4.0,8.24,0.6,APPROVE - Not a statistical outlier,
influencer_189,1120043,60920,4409,4.94,5.44,509,8.8,38.690000000000005,2.5,APPROVE - Not a statistical outlier,
influencer_190,3330462,50733,1782,0.62,1.52,1383,7.0,26.58,0.0,APPROVE - Not a statistical outlier,
influencer_191,2207903,112895,7076,3.57,5.11,919,2.7,2.62,0.6,APPROVE - Not a statistical outlier,
influencer_192,1742093,119461,5428,24.86,6.86,954,14.2,64.45,15.0,APPROVE - Not a statistical outlier,
influencer_193,2559231,160869,9992,21.26,6.29,2200,12.6,58.4,11.3,APPROVE - Not a statistical outlier,
influencer_194,4301385,111105,9162,-0.65,2.58,1932,9.4,42.6,0.6,APPROVE - Not a statistical outlier,
influencer_195,3081389,92465,7537,1.85,3.0,1440,2.8,2.96,0.9,APPROVE - Not a statistical outlier,
influencer_196,1662909,29142,1408,-0.83,1.75,1392,5.3,15.27,0.0,APPROVE - Not a statistical outlier,
influencer_197,2657138,93474,7061,2.68,3.52,807,2.9,3.34,0.7,APPROVE - Not a statistical outlier,
influencer_198,111078,3810,363,17.51,3.43,2425,35.1,93.85,15.9,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_199,1916631,375109,26277,25.15,19.57,58,61.8,99.83999999999999,45.3,"REJECT - Top 1% anomaly, escalate for manual audit",
influencer_200,1405104,48519,1546,2.5,3.45,64,20.9,79.47,0.8,APPROVE - Not a statistical outlier,
influencer_201,2009187,105358,7836,4.56,5.24,1449,4.3,9.62,0.9,APPROVE - Not a statistical outlier,
influencer_202,1660066,75205,2135,3.7,4.53,2700,7.6,30.54,0.0,APPROVE - Not a statistical outlier,
influencer_203,4174125,144102,12935,-0.2,3.45,618,16.5,70.91,0.9,APPROVE - Not a statistical outlier,
influencer_204,2149815,381744,23413,17.58,17.76,933,32.9,92.14,39.0,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_205,4025066,218345,11094,-0.84,5.42,2597,13.9,63.580000000000005,0.2,APPROVE - Not a statistical outlier,
influencer_206,4507259,175111,4300,1.32,3.89,2199,11.2,52.04,0.2,APPROVE - Not a statistical outlier,
influencer_207,4136314,87099,4395,2.06,2.11,369,9.1,40.52,0.5,APPROVE - Not a statistical outlier,
influencer_208,911681,21384,1972,4.68,2.35,204,11.5,53.73,0.2,APPROVE - Not a statistical outlier,
influencer_209,1608618,80682,1749,2.13,5.02,1953,7.9,32.82,0.0,APPROVE - Not a statistical outlier,
influencer_210,3897830,47581,2758,3.69,1.22,1744,8.0,33.550000000000004,0.0,APPROVE - Not a statistical outlier,
influencer_211,4337787,258552,24431,0.61,5.96,626,33.1,92.30000000000001,34.6,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_212,2756423,45529,2348,-0.08,1.65,480,9.1,40.52,0.6,APPROVE - Not a statistical outlier,
influencer_213,2034350,101317,5496,3.87,4.98,586,3.3,4.8500000000000005,0.6,APPROVE - Not a statistical outlier,
influencer_214,2312987,68785,4559,0.48,2.97,1189,4.1,8.7,0.2,APPROVE - Not a statistical outlier,
influencer_215,4597200,159112,9074,4.23,3.46,1386,7.2,27.93,0.2,APPROVE - Not a statistical outlier,
influencer_216,4672399,252461,8454,0.02,5.4,2086,27.4,88.01,0.2,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_217,72295,2215,47,4.11,3.06,2411,16.1,69.86,0.0,APPROVE - Not a statistical outlier,
influencer_218,744974,27470,1889,3.64,3.69,1046,3.6,6.12,0.0,APPROVE - Not a statistical outlier,
influencer_219,3446376,42959,4023,2.67,1.25,2404,9.8,44.83,0.0,APPROVE - Not a statistical outlier,
influencer_220,3613600,614525,17519,13.81,17.01,2092,37.4,95.39999999999999,18.3,MANUAL REVIEW - Top 5% anomaly,Unsupervised flags anomaly; transfer model does not recognize pattern - review
influencer_221,826816,18388,678,0.98,2.22,868,5.8,18.7,0.0,APPROVE - Not a statistical outlier,
influencer_222,375705,16541,820,-0.0,4.4,1667,17.0,72.11,0.0,APPROVE - Not a statistical outlier,
influencer_223,3718270,59727,5058,-0.06,1.61,255,16.6,71.17,0.6,APPROVE - Not a statistical outlier,
influencer_224,1857926,29147,1210,0.62,1.57,1843,6.7,24.240000000000002,0.0,APPROVE - Not a statistical outlier,
influencer_225,1659845,50704,4591,1.68,3.05,2190,5.1,13.919999999999998,0.6,APPROVE - Not a statistical outlier,
influencer_226,2027793,85961,2097,4.26,4.24,2050,6.6,23.56,0.0,APPROVE - Not a statistical outlier,
influencer_227,555594,24156,2301,12.14,4.35,1481,20.4,78.75,18.0,APPROVE - Not a statistical outlier,
influencer_228,148718,2814,182,4.49,1.89,2078,11.5,53.73,0.0,APPROVE - Not a statistical outlier,
influencer_229,4840567,909816,66145,11.16,18.8,2343,52.3,99.56,30.3,"REJECT - Top 1% anomaly, escalate for manual audit",
influencer_230,3505473,199881,9877,3.36,5.7,1544,5.9,19.36,0.2,APPROVE - Not a statistical outlier,
influencer_231,2205664,50803,4194,4.4,2.3,1261,3.5,5.62,0.0,APPROVE - Not a statistical outlier,
influencer_232,4342747,228720,7622,3.62,5.27,1675,9.0,39.94,0.2,APPROVE - Not a statistical outlier,
influencer_233,1520163,80834,1932,2.17,5.32,1765,7.5,29.880000000000003,0.0,APPROVE - Not a statistical outlier,
influencer_234,4568920,222168,11473,2.6,4.86,335,15.6,68.47999999999999,0.7,APPROVE - Not a statistical outlier,
influencer_235,687976,12687,1120,2.77,1.84,2089,8.7,38.05,0.0,APPROVE - Not a statistical outlier,
influencer_236,2473189,126355,10158,-0.24,5.11,1753,11.8,55.21,5.6,APPROVE - Not a statistical outlier,
influencer_237,3142259,152281,9345,0.16,4.85,1719,10.5,48.67,0.2,APPROVE - Not a statistical outlier,
