name,followers,likes,comments,growth_rate,engagement_rate,account_age_days,fraud_risk_score,vetting_action,predicted_fraud,novel_pattern_flag
influencer_41,2054824,59579,2968,7.37,2.9,373,0.8,APPROVE - Low fraud risk,0,
influencer_42,990439,51533,2270,1.83,5.2,910,0.5,APPROVE - Low fraud risk,0,
influencer_43,710627,27557,1501,5.87,3.88,1540,0.1,APPROVE - Low fraud risk,0,
influencer_44,1058837,24334,721,3.8,2.3,1352,0.3,APPROVE - Low fraud risk,0,
influencer_45,3338811,75253,3750,2.31,2.25,1170,0.2,APPROVE - Low fraud risk,0,
influencer_46,76545,704,16,4.25,0.92,251,5.0,APPROVE - Low fraud risk,0,
influencer_47,806693,25511,1313,10.59,3.16,325,4.6,APPROVE - Low fraud risk,0,
influencer_48,3409933,182,2,33.64,0.01,817,99.0,REJECT - High fraud risk,1,
influencer_49,807206,36579,1131,4.6,4.53,245,0.1,APPROVE - Low fraud risk,0,
influencer_50,725631,18929,828,0.43,2.61,1327,0.0,APPROVE - Low fraud risk,0,
influencer_51,1965946,289,4,33.07,0.01,619,100.0,REJECT - High fraud risk,1,
influencer_52,1198683,85,3,28.76,0.01,227,100.0,REJECT - High fraud risk,1,
influencer_53,283941,2318,114,7.38,0.82,639,3.1,APPROVE - Low fraud risk,0,
influencer_54,236927,7253,224,6.13,3.06,1475,0.0,APPROVE - Low fraud risk,0,
influencer_55,449540,11030,449,4.56,2.45,833,0.0,APPROVE - Low fraud risk,0,
influencer_56,110781,4882,216,0.27,4.41,1653,0.0,APPROVE - Low fraud risk,0,
influencer_57,783579,25126,1029,-3.21,3.21,592,0.0,APPROVE - Low fraud risk,0,
influencer_58,372390,7620,442,3.74,2.05,200,0.0,APPROVE - Low fraud risk,0,
influencer_59,401012,7401,375,4.62,1.85,518,0.0,APPROVE - Low fraud risk,0,
influencer_60,5000000,144863,2650,5.72,2.9,1997,0.0,APPROVE - Low fraud risk,0,
influencer_61,205064,6971,252,-2.93,3.4,1096,0.0,APPROVE - Low fraud risk,0,
influencer_62,582642,21784,966,3.82,3.74,1268,0.0,APPROVE - Low fraud risk,0,
influencer_63,1512586,53805,1677,-0.41,3.56,1768,0.0,APPROVE - Low fraud risk,0,
influencer_64,120315,3247,149,2.49,2.7,1308,0.0,APPROVE - Low fraud risk,0,
influencer_65,373255,10283,283,1.42,2.75,642,0.1,APPROVE - Low fraud risk,0,
influencer_66,445011,21549,849,6.56,4.84,1410,0.0,APPROVE - Low fraud risk,0,
influencer_67,301647,5733,278,4.15,1.9,1580,0.0,APPROVE - Low fraud risk,0,
influencer_68,449229,16002,672,3.47,3.56,1439,0.0,APPROVE - Low fraud risk,0,
influencer_69,514243,14297,939,2.87,2.78,1761,0.0,APPROVE - Low fraud risk,0,
influencer_70,339424,9088,5564,-10.0,2.68,959,98.3,REJECT - High fraud risk,1,
influencer_71,520245,12353,290,3.06,2.37,1313,0.0,APPROVE - Low fraud risk,0,
influencer_72,118726,3892,290,4.98,3.28,1427,0.0,APPROVE - Low fraud risk,0,
influencer_73,3486919,167684,8130,-1.47,4.81,1125,0.6,APPROVE - Low fraud risk,0,
influencer_74,612677,15239,1029,-2.26,2.49,937,0.0,APPROVE - Low fraud risk,0,
influencer_75,198349,7293,498,2.5,3.68,145,0.1,APPROVE - Low fraud risk,0,
influencer_76,628445,15736,647,3.41,2.5,732,0.0,APPROVE - Low fraud risk,0,
influencer_77,957260,25512,823,1.15,2.67,600,0.0,APPROVE - Low fraud risk,0,
influencer_78,1285663,21926,887,7.0,1.71,961,0.5,APPROVE - Low fraud risk,0,
influencer_79,294031,12036,877,5.37,4.09,1255,0.0,APPROVE - Low fraud risk,0,
influencer_80,363759,11047,312,3.03,3.04,1055,0.0,APPROVE - Low fraud risk,0,
influencer_81,313492,9780,320,8.11,3.12,1789,0.0,APPROVE - Low fraud risk,0,
influencer_82,85149,2413,101,8.37,2.83,1946,0.0,APPROVE - Low fraud risk,0,
influencer_83,5000000,121130,4668,0.71,2.42,737,0.2,APPROVE - Low fraud risk,0,
influencer_84,794400,19101,1301,9.71,2.4,546,5.5,APPROVE - Low fraud risk,0,
influencer_85,366792,12392,415,0.17,3.38,1982,0.0,APPROVE - Low fraud risk,0,
influencer_86,1770958,56753,3374,6.07,3.2,935,0.4,APPROVE - Low fraud risk,0,
influencer_87,891443,25022,1394,-4.99,2.81,1700,0.0,APPROVE - Low fraud risk,0,
influencer_88,628657,13139,827,5.95,2.09,640,0.0,APPROVE - Low fraud risk,0,
influencer_89,272620,10499,1575,8.74,3.85,536,89.6,REJECT - High fraud risk,1,
influencer_90,181321,4674,195,1.47,2.58,965,0.0,APPROVE - Low fraud risk,0,
influencer_91,175827,4136,206,5.72,2.35,1652,0.0,APPROVE - Low fraud risk,0,
influencer_92,1493440,33243,983,6.63,2.23,733,1.6,APPROVE - Low fraud risk,0,
influencer_93,1304087,34192,969,0.58,2.62,1708,0.0,APPROVE - Low fraud risk,0,
influencer_94,1121336,63144,963,-1.22,5.63,230,0.0,APPROVE - Low fraud risk,0,
influencer_95,305844,8954,304,7.06,2.93,766,0.1,APPROVE - Low fraud risk,0,
influencer_96,729350,28251,12376,28.59,3.87,1013,98.5,REJECT - High fraud risk,1,
influencer_97,2695047,49805,2497,4.34,1.85,406,0.4,APPROVE - Low fraud risk,0,
influencer_98,573754,11069,468,7.14,1.93,1928,0.0,APPROVE - Low fraud risk,0,
influencer_99,1116827,65082,1232,4.72,5.83,974,0.2,APPROVE - Low fraud risk,0,
influencer_100,314808,10689,567,0.5,3.4,1017,0.0,APPROVE - Low fraud risk,0,
influencer_101,295961,7327,176,11.01,2.48,1917,1.1,APPROVE - Low fraud risk,0,
influencer_102,205141,5411,254,-0.17,2.64,1669,0.0,APPROVE - Low fraud risk,0,
influencer_103,5000000,160798,7165,0.37,3.22,1765,0.6,APPROVE - Low fraud risk,0,
influencer_104,373931,334,12,19.63,0.09,514,99.7,REJECT - High fraud risk,1,
influencer_105,267121,6263,107,4.04,2.34,1382,0.0,APPROVE - Low fraud risk,0,
influencer_106,5000000,115520,4526,6.57,2.31,985,1.0,APPROVE - Low fraud risk,0,
influencer_107,724442,25499,1605,5.66,3.52,1265,0.1,APPROVE - Low fraud risk,0,
influencer_108,3421003,106405,4215,5.74,3.11,1273,0.0,APPROVE - Low fraud risk,0,
influencer_109,463152,659,23,30.05,0.14,690,100.0,REJECT - High fraud risk,1,
influencer_110,5000000,119322,4749,4.23,2.39,1890,0.0,APPROVE - Low fraud risk,0,
influencer_111,586248,23643,1584,-1.8,4.03,707,0.2,APPROVE - Low fraud risk,0,
influencer_112,229648,7019,327,2.65,3.06,1301,0.0,APPROVE - Low fraud risk,0,
influencer_113,303189,8857,532,8.56,2.92,270,0.8,APPROVE - Low fraud risk,0,
influencer_114,143963,2755,68,4.52,1.91,626,0.3,APPROVE - Low fraud risk,0,
influencer_115,448152,8278,549,6.6,1.85,1410,0.0,APPROVE - Low fraud risk,0,
influencer_116,5000000,149068,6023,5.59,2.98,1461,0.0,APPROVE - Low fraud risk,0,
influencer_117,476603,17890,1139,2.64,3.75,539,0.1,APPROVE - Low fraud risk,0,
influencer_118,490928,16924,686,7.61,3.45,1946,0.0,APPROVE - Low fraud risk,0,
influencer_119,168628,3666,76,6.92,2.17,1042,0.0,APPROVE - Low fraud risk,0,
influencer_120,876561,23183,1495,9.43,2.64,777,5.3,APPROVE - Low fraud risk,0,
influencer_121,83598,2427,100,1.98,2.9,668,0.1,APPROVE - Low fraud risk,0,
influencer_122,695432,15945,639,0.66,2.29,150,0.0,APPROVE - Low fraud risk,0,
influencer_123,165356,4853,2559,24.81,2.93,129,99.9,REJECT - High fraud risk,1,
influencer_124,369613,16463,825,0.48,4.45,1324,0.0,APPROVE - Low fraud risk,0,
influencer_125,1721613,54405,2156,5.67,3.16,579,0.7,APPROVE - Low fraud risk,0,
influencer_126,43081,1293,194,7.25,3.0,363,64.5,MANUAL REVIEW - Audit history,1,
influencer_127,489896,16734,497,4.92,3.42,909,0.3,APPROVE - Low fraud risk,0,
influencer_128,672979,11502,4228,11.65,1.71,900,94.4,REJECT - High fraud risk,1,
influencer_129,1118492,11230,404,1.1,1.0,588,0.0,APPROVE - Low fraud risk,0,
influencer_130,595725,19354,1060,3.21,3.25,268,0.1,APPROVE - Low fraud risk,0,
influencer_131,65437,2004,27,1.33,3.06,1275,0.0,APPROVE - Low fraud risk,0,
influencer_132,511436,15169,601,3.66,2.97,1166,0.0,APPROVE - Low fraud risk,0,
influencer_133,2859752,61204,3123,1.75,2.14,666,0.2,APPROVE - Low fraud risk,0,
influencer_134,660656,18181,999,5.23,2.75,1382,0.0,APPROVE - Low fraud risk,0,
influencer_135,224166,6919,237,4.7,3.09,950,0.0,APPROVE - Low fraud risk,0,
influencer_136,215932,6187,149,2.13,2.87,1044,0.0,APPROVE - Low fraud risk,0,
influencer_137,783338,80,3,25.78,0.01,277,100.0,REJECT - High fraud risk,1,
influencer_138,694346,11311,375,-5.35,1.63,815,0.0,APPROVE - Low fraud risk,0,
influencer_139,425418,18871,839,-3.95,4.44,1229,0.0,APPROVE - Low fraud risk,0,
influencer_140,605863,10928,224,-4.63,1.8,453,0.3,APPROVE - Low fraud risk,0,
influencer_141,137551,4799,131,2.35,3.49,821,0.1,APPROVE - Low fraud risk,0,
influencer_142,1715435,47529,1128,2.81,2.77,1096,0.0,APPROVE - Low fraud risk,0,
influencer_143,487546,13702,6614,9.79,2.81,184,98.3,REJECT - High fraud risk,1,
influencer_144,629796,16773,611,3.59,2.66,590,0.1,APPROVE - Low fraud risk,0,
influencer_145,1740335,165,5,25.44,0.01,597,100.0,REJECT - High fraud risk,1,
influencer_146,1202695,28428,777,1.31,2.36,402,0.0,APPROVE - Low fraud risk,0,
influencer_147,504355,17364,753,10.5,3.44,995,1.2,APPROVE - Low fraud risk,0,
influencer_148,899432,36638,2334,0.39,4.07,1307,1.2,APPROVE - Low fraud risk,0,
influencer_149,517013,22856,852,10.23,4.42,1354,0.5,APPROVE - Low fraud risk,0,
influencer_150,672931,23006,1288,-3.41,3.42,1399,0.0,APPROVE - Low fraud risk,0,
influencer_151,456263,5768,165,-5.41,1.26,1827,0.0,APPROVE - Low fraud risk,0,
influencer_152,139717,3080,156,8.41,2.2,1464,0.7,APPROVE - Low fraud risk,0,
influencer_153,727625,402,15,13.08,0.06,729,100.0,REJECT - High fraud risk,1,
influencer_154,1319790,44130,22894,-2.53,3.34,437,91.4,REJECT - High fraud risk,1,
influencer_155,909982,18638,1315,6.93,2.05,772,1.0,APPROVE - Low fraud risk,0,
influencer_156,434312,8396,265,0.99,1.93,806,0.0,APPROVE - Low fraud risk,0,
influencer_157,213530,3832,74,1.58,1.79,523,0.0,APPROVE - Low fraud risk,0,
influencer_158,223484,6041,348,4.81,2.7,1645,0.0,APPROVE - Low fraud risk,0,
influencer_159,367425,6437,448,2.18,1.75,574,0.0,APPROVE - Low fraud risk,0,
influencer_160,180912,6799,321,-2.63,3.76,656,0.0,APPROVE - Low fraud risk,0,
influencer_161,325252,15592,630,7.73,4.79,1748,0.0,APPROVE - Low fraud risk,0,
influencer_162,585788,18788,856,-0.12,3.21,1075,0.0,APPROVE - Low fraud risk,0,
influencer_163,460070,4628,280,1.69,1.01,980,0.0,APPROVE - Low fraud risk,0,
influencer_164,338309,6854,231,4.5,2.03,810,0.0,APPROVE - Low fraud risk,0,
influencer_165,141603,2325,35,-0.15,1.64,206,1.0,APPROVE - Low fraud risk,0,
influencer_166,1947497,72057,917,-3.36,3.7,1932,0.0,APPROVE - Low fraud risk,0,
influencer_167,499125,7095,69,1.16,1.42,273,1.7,APPROVE - Low fraud risk,0,
influencer_168,96270,3931,193,-4.32,4.08,1677,0.0,APPROVE - Low fraud risk,0,
influencer_169,328589,6196,201,4.94,1.89,796,0.3,APPROVE - Low fraud risk,0,
influencer_170,261479,4670,249,3.05,1.79,342,0.0,APPROVE - Low fraud risk,0,
influencer_171,514146,1551,52,5.25,0.3,1284,50.2,MANUAL REVIEW - Audit history,1,
influencer_172,442139,8794,518,4.98,1.99,377,0.0,APPROVE - Low fraud risk,0,
influencer_173,762837,36623,1053,1.32,4.8,254,0.1,APPROVE - Low fraud risk,0,
influencer_174,408727,10270,308,-3.45,2.51,1764,0.0,APPROVE - Low fraud risk,0,
influencer_175,323579,9621,304,-5.03,2.97,1202,0.0,APPROVE - Low fraud risk,0,
influencer_176,142721,11771,594,-2.07,8.25,1841,5.0,APPROVE - Low fraud risk,0,
influencer_177,116148,2648,158,4.88,2.28,419,0.0,APPROVE - Low fraud risk,0,
influencer_178,1334175,54303,2227,3.72,4.07,959,0.2,APPROVE - Low fraud risk,0,
influencer_179,590677,13238,567,5.97,2.24,135,0.3,APPROVE - Low fraud risk,0,
influencer_180,2247060,41980,2590,3.22,1.87,1321,0.0,APPROVE - Low fraud risk,0,
influencer_181,961192,222,7,17.39,0.02,116,100.0,REJECT - High fraud risk,1,
influencer_182,776588,18505,706,3.01,2.38,1103,0.0,APPROVE - Low fraud risk,0,
influencer_183,491054,28666,1218,8.85,5.84,1384,0.0,APPROVE - Low fraud risk,0,
influencer_184,291858,7559,320,-3.49,2.59,729,0.0,APPROVE - Low fraud risk,0,
influencer_185,172633,2827,160,5.85,1.64,1144,0.0,APPROVE - Low fraud risk,0,
influencer_186,982916,31528,1054,5.39,3.21,780,0.2,APPROVE - Low fraud risk,0,
influencer_187,139359,6244,224,-0.2,4.48,1935,0.0,APPROVE - Low fraud risk,0,
influencer_188,688785,11929,818,5.17,1.73,1507,0.0,APPROVE - Low fraud risk,0,
influencer_189,297168,9283,190,2.99,3.12,1123,0.0,APPROVE - Low fraud risk,0,
influencer_190,137322,4899,297,8.84,3.57,841,0.9,APPROVE - Low fraud risk,0,
influencer_191,879927,22819,1046,4.88,2.59,825,0.0,APPROVE - Low fraud risk,0,
influencer_192,87129,3510,1,2.95,4.03,670,4.5,APPROVE - Low fraud risk,0,
influencer_193,1725031,52680,1832,3.4,3.05,1815,0.0,APPROVE - Low fraud risk,0,
influencer_194,152168,502,20,6.93,0.33,773,60.4,MANUAL REVIEW - Audit history,1,
influencer_195,839058,30857,941,1.78,3.68,1479,0.0,APPROVE - Low fraud risk,0,
influencer_196,2513292,65425,2873,2.79,2.6,1008,0.2,APPROVE - Low fraud risk,0,
influencer_197,23386,576,24,3.55,2.46,1845,0.0,APPROVE - Low fraud risk,0,
influencer_198,498606,16677,837,1.91,3.34,1292,0.0,APPROVE - Low fraud risk,0,
influencer_199,128316,5197,252,6.95,4.05,1763,0.0,APPROVE - Low fraud risk,0,
influencer_200,623930,25634,1461,4.45,4.11,945,0.0,APPROVE - Low fraud risk,0,
influencer_201,93445,2648,178,-0.22,2.83,1535,0.0,APPROVE - Low fraud risk,0,
influencer_202,643624,17724,807,9.65,2.75,1670,0.3,APPROVE - Low fraud risk,0,
influencer_203,3041655,70509,2203,-0.81,2.32,366,0.4,APPROVE - Low fraud risk,0,
influencer_204,826744,43055,3088,-0.15,5.21,207,1.4,APPROVE - Low fraud risk,0,
influencer_205,875377,28121,831,7.84,3.21,1458,0.0,APPROVE - Low fraud risk,0,
influencer_206,535153,19042,708,1.72,3.56,857,0.3,APPROVE - Low fraud risk,0,
influencer_207,631839,26167,1129,2.83,4.14,396,0.1,APPROVE - Low fraud risk,0,
influencer_208,668494,15435,542,1.86,2.31,1094,0.0,APPROVE - Low fraud risk,0,
influencer_209,1037944,8150,550,-4.03,0.79,371,2.5,APPROVE - Low fraud risk,0,
influencer_210,684700,21918,588,1.18,3.2,1446,0.0,APPROVE - Low fraud risk,0,
influencer_211,666342,15737,746,4.55,2.36,1274,0.0,APPROVE - Low fraud risk,0,
influencer_212,1094851,26453,758,3.04,2.42,383,0.0,APPROVE - Low fraud risk,0,
influencer_213,975790,35078,1527,3.72,3.59,907,0.4,APPROVE - Low fraud risk,0,
influencer_214,425318,9127,486,0.72,2.15,191,0.0,APPROVE - Low fraud risk,0,
influencer_215,24999,1382,49,6.41,5.53,360,0.1,APPROVE - Low fraud risk,0,
influencer_216,131831,5821,320,3.34,4.42,262,0.1,APPROVE - Low fraud risk,0,
influencer_217,251847,8570,4249,22.75,3.4,557,99.3,REJECT - High fraud risk,1,
influencer_218,180746,3917,162,7.8,2.17,224,0.3,APPROVE - Low fraud risk,0,
influencer_219,257260,4159,224,-0.31,1.62,1140,0.0,APPROVE - Low fraud risk,0,
influencer_220,642976,17430,688,1.47,2.71,1524,0.0,APPROVE - Low fraud risk,0,
influencer_221,1601565,64637,4652,-1.65,4.04,1847,0.2,APPROVE - Low fraud risk,0,
influencer_222,359893,11541,382,5.18,3.21,900,0.3,APPROVE - Low fraud risk,0,
influencer_223,482502,1559,53,36.12,0.32,211,84.9,REJECT - High fraud risk,1,
influencer_224,53718,1270,44,3.11,2.36,1521,0.0,APPROVE - Low fraud risk,0,
influencer_225,834963,20950,1176,5.78,2.51,1405,0.3,APPROVE - Low fraud risk,0,
influencer_226,128358,1646,106,9.92,1.28,157,11.3,APPROVE - Low fraud risk,0,
influencer_227,54136,1185,52,7.58,2.19,254,0.7,APPROVE - Low fraud risk,0,
influencer_228,19003,680,27,3.88,3.58,1056,1.3,APPROVE - Low fraud risk,0,
influencer_229,293870,4959,363,1.54,1.69,304,0.0,APPROVE - Low fraud risk,0,
influencer_230,1119430,19572,923,1.07,1.75,1125,0.0,APPROVE - Low fraud risk,0,
influencer_231,131385,5044,360,7.28,3.84,1211,0.0,APPROVE - Low fraud risk,0,
influencer_232,1468158,40011,1663,4.76,2.73,1126,0.1,APPROVE - Low fraud risk,0,
influencer_233,221608,3213,143,-2.9,1.45,399,0.0,APPROVE - Low fraud risk,0,
influencer_234,422946,170,1,13.76,0.04,333,98.0,REJECT - High fraud risk,1,
influencer_235,88452,3441,110,4.35,3.89,1308,0.0,APPROVE - Low fraud risk,0,
influencer_236,1273402,11977,565,5.03,0.94,1576,0.3,APPROVE - Low fraud risk,0,
influencer_237,270015,8031,447,3.6,2.97,960,0.0,APPROVE - Low fraud risk,0,
influencer_238,337615,11201,639,-3.65,3.32,1564,0.0,APPROVE - Low fraud risk,0,
influencer_239,1449763,30974,1282,-3.7,2.14,475,0.0,APPROVE - Low fraud risk,0,
influencer_240,320820,6489,1201,10.96,2.02,977,69.4,MANUAL REVIEW - Audit history,1,
influencer_241,459582,10789,416,3.49,2.35,1843,0.0,APPROVE - Low fraud risk,0,
influencer_242,52548,2831,141,1.49,5.39,1446,0.0,APPROVE - Low fraud risk,0,
influencer_243,190634,3100,145,9.15,1.63,631,2.2,APPROVE - Low fraud risk,0,
influencer_244,260665,4551,217,3.11,1.75,1850,0.0,APPROVE - Low fraud risk,0,
influencer_245,238750,7357,294,2.68,3.08,1318,0.0,APPROVE - Low fraud risk,0,
influencer_246,471253,14736,794,6.84,3.13,745,0.1,APPROVE - Low fraud risk,0,
influencer_247,858814,19753,993,0.96,2.3,1174,0.0,APPROVE - Low fraud risk,0,
influencer_248,1322506,43354,2252,1.73,3.28,1927,0.2,APPROVE - Low fraud risk,0,
influencer_249,30333,1784,65,9.09,5.88,1257,0.6,APPROVE - Low fraud risk,0,
influencer_250,314851,9955,3411,4.19,3.16,353,97.7,REJECT - High fraud risk,1,
influencer_251,267318,8107,4379,19.13,3.03,951,99.3,REJECT - High fraud risk,1,
influencer_252,203412,7140,66,0.46,3.51,1086,0.0,APPROVE - Low fraud risk,0,
influencer_253,798050,31146,632,1.44,3.9,1192,0.0,APPROVE - Low fraud risk,0,
influencer_254,635990,13732,303,3.93,2.16,1326,0.0,APPROVE - Low fraud risk,0,
influencer_255,15212,714,37,-4.47,4.7,1606,0.3,APPROVE - Low fraud risk,0,
influencer_256,346950,18850,701,2.12,5.43,1214,0.0,APPROVE - Low fraud risk,0,
influencer_257,2483122,52121,2733,5.07,2.1,204,0.0,APPROVE - Low fraud risk,0,
influencer_258,428956,9796,625,7.17,2.28,229,0.0,APPROVE - Low fraud risk,0,
influencer_259,1070829,23534,1848,13.02,2.2,876,19.2,APPROVE - Low fraud risk,0,
influencer_260,281306,6753,342,7.42,2.4,1459,0.0,APPROVE - Low fraud risk,0,
influencer_261,268047,3650,272,2.17,1.36,568,0.0,APPROVE - Low fraud risk,0,
influencer_262,184712,4898,68,7.63,2.65,500,0.1,APPROVE - Low fraud risk,0,
influencer_263,397170,8741,198,-4.92,2.2,616,0.0,APPROVE - Low fraud risk,0,
influencer_264,1189098,585,27,4.54,0.05,338,99.3,REJECT - High fraud risk,1,
influencer_265,181601,2813,118,3.96,1.55,1048,0.0,APPROVE - Low fraud risk,0,
influencer_266,500061,11750,453,3.77,2.35,1218,0.0,APPROVE - Low fraud risk,0,
influencer_267,3263072,65702,4065,0.55,2.01,762,0.2,APPROVE - Low fraud risk,0,
influencer_268,733983,23243,1418,-0.19,3.17,1341,0.0,APPROVE - Low fraud risk,0,
influencer_269,213312,3414,172,2.33,1.6,733,0.3,APPROVE - Low fraud risk,0,
influencer_270,525841,7490,420,5.14,1.42,1009,0.3,APPROVE - Low fraud risk,0,
influencer_271,5000000,186931,10209,4.73,3.74,1314,0.2,APPROVE - Low fraud risk,0,
influencer_272,492453,9158,653,-0.31,1.86,1756,0.0,APPROVE - Low fraud risk,0,
influencer_273,265619,5024,1061,13.18,1.89,496,80.7,REJECT - High fraud risk,1,
influencer_274,475743,1214,34,5.85,0.26,1518,54.5,MANUAL REVIEW - Audit history,1,
influencer_275,698072,9453,387,-0.92,1.35,806,0.0,APPROVE - Low fraud risk,0,
influencer_276,1154968,48465,1623,4.92,4.2,1899,0.0,APPROVE - Low fraud risk,0,
influencer_277,431510,17173,468,-2.66,3.98,1654,0.0,APPROVE - Low fraud risk,0,
influencer_278,367138,5544,228,-3.9,1.51,1448,0.0,APPROVE - Low fraud risk,0,
influencer_279,116542,2017,83,-1.77,1.73,874,0.0,APPROVE - Low fraud risk,0,
influencer_280,540065,3926,150,7.25,0.73,530,7.7,APPROVE - Low fraud risk,0,
influencer_281,1338945,962,29,15.19,0.07,401,100.0,REJECT - High fraud risk,1,
influencer_282,170097,270,10,26.42,0.16,219,98.7,REJECT - High fraud risk,1,
influencer_283,471702,15708,644,4.68,3.33,1292,0.0,APPROVE - Low fraud risk,0,
influencer_284,128663,1976,81,5.32,1.54,1041,0.0,APPROVE - Low fraud risk,0,
influencer_285,604028,13704,883,1.73,2.27,1601,0.0,APPROVE - Low fraud risk,0,
influencer_286,1655648,50854,2092,-1.97,3.07,1543,0.0,APPROVE - Low fraud risk,0,
influencer_287,1173422,42615,3117,6.16,3.63,1391,0.0,APPROVE - Low fraud risk,0,
influencer_288,313531,7933,446,4.93,2.53,1744,0.0,APPROVE - Low fraud risk,0,
influencer_289,100197,3381,117,0.3,3.37,1311,0.0,APPROVE - Low fraud risk,0,
influencer_290,4149841,121643,2641,1.84,2.93,658,0.4,APPROVE - Low fraud risk,0,
influencer_291,662108,22346,1028,-0.41,3.37,274,0.0,APPROVE - Low fraud risk,0,
influencer_292,618393,21240,872,1.38,3.43,1376,0.0,APPROVE - Low fraud risk,0,
influencer_293,1328607,30825,1686,0.03,2.32,1334,0.0,APPROVE - Low fraud risk,0,
influencer_294,57415,1860,90,3.93,3.24,190,0.8,APPROVE - Low fraud risk,0,
influencer_295,321556,8936,238,4.75,2.78,955,0.3,APPROVE - Low fraud risk,0,
influencer_296,537743,8991,565,9.64,1.67,1383,1.9,APPROVE - Low fraud risk,0,
influencer_297,299489,12012,830,0.63,4.01,225,0.0,APPROVE - Low fraud risk,0,
influencer_298,572477,18115,1007,4.07,3.16,914,0.3,APPROVE - Low fraud risk,0,
influencer_299,211448,5244,360,1.31,2.48,1010,0.0,APPROVE - Low fraud risk,0,
influencer_300,124976,4857,148,5.54,3.89,1670,0.0,APPROVE - Low fraud risk,0,
influencer_301,889724,32022,840,8.87,3.6,1032,0.0,APPROVE - Low fraud risk,0,
